home_id,partner_id,employee_id,wali_id,region_id
1,65,65,,
2,103,103,,
3,300,301,,
4,256,256,,
5,72,72,,
6,224,224,,
7,110,110,,
8,204,204,,
9,319,320,,
10,228,228,,
11,320,321,,
12,182,182,,
13,264,264,,
14,357,358,,
15,157,157,,
16,251,251,,
17,390,390,,
18,315,316,,
19,176,176,1,
20,400,400,,
21,222,222,,
22,287,288,,
23,290,291,,
24,89,89,,
25,289,290,,
26,211,211,,
27,210,210,,
28,250,250,,
29,398,398,,
30,399,399,,
31,43,43,,
32,22,22,,
33,159,159,,
34,291,292,,
35,44,44,,
36,284,285,,
37,266,266,,
38,322,323,,
39,313,314,2,
40,321,322,,
41,388,388,,
42,25,25,,
43,278,279,,
44,42,42,,
45,402,402,,
46,188,188,,
47,403,403,,
48,265,265,,
49,404,404,,
50,375,375,,
51,123,123,,
52,267,267,,
53,168,168,,
54,408,408,,
55,124,124,,
56,229,229,,
57,275,276,,
58,252,252,,
59,133,133,,
60,283,284,,
61,259,259,,
62,31,31,,
63,405,405,,
64,91,91,,
65,323,324,,
66,326,327,,
67,368,368,,
68,362,363,,
69,179,179,,
70,239,239,,
71,383,383,,
72,350,351,,
73,272,272,,
74,172,172,,
75,156,156,,
76,165,165,,
77,354,355,,
78,254,254,,
79,195,195,,
80,358,359,,
81,41,41,,
82,226,226,,
83,242,242,,
84,353,354,,
85,217,217,,
86,324,325,,
87,139,139,,
88,19,19,,
89,355,356,,
90,349,350,,
91,384,384,,
92,328,329,,
93,407,407,,
94,212,212,,
95,117,117,,
96,45,45,,
97,344,345,4,
98,127,127,,
99,356,357,,
100,111,111,,
101,325,326,,
102,330,331,,
103,191,191,,
104,53,53,,
105,146,146,,
106,62,62,,
107,346,347,,
108,214,214,,
109,32,32,,
110,307,308,,
111,46,46,,
112,64,64,,
113,100,100,,
114,343,344,,
115,24,24,17,
116,63,63,,
117,38,38,,
118,129,129,,
119,92,92,,
120,47,47,,
121,231,231,,
122,140,140,,
123,170,170,,
124,40,40,,
125,105,105,,
126,16,16,,
127,248,248,,
128,39,39,,
129,317,318,,
130,134,134,,
131,288,289,,
132,51,51,,
133,331,332,,
134,67,67,,
135,15,15,,
136,385,385,,
137,413,413,,
138,395,395,,
139,36,36,,
140,80,80,5,
141,79,79,,
142,82,82,,
143,412,412,,
144,221,221,,
145,149,149,,
146,294,295,,
147,37,37,,
148,333,334,6,
149,360,361,,
150,1,1,,
151,338,339,,
152,142,142,,
153,200,200,,
154,334,335,,
155,93,93,,
156,194,194,,
157,14,14,,
158,205,205,,
159,367,367,,
160,106,106,,
161,144,144,,
162,296,297,,
163,316,317,,
164,223,223,,
165,102,102,,
166,150,150,,
167,295,296,,
168,286,287,,
169,396,396,,
170,49,49,,
171,374,374,,
172,101,101,,
173,50,50,,
174,175,175,,
175,151,151,,
176,302,303,,
177,218,218,9,
178,303,304,,
179,145,145,,
180,152,152,,
181,305,306,,
182,112,112,,
183,332,333,,
184,304,305,7,
185,236,236,,
186,143,143,,
187,84,84,,
188,153,153,,
189,97,97,,
190,299,300,,
191,297,298,,
192,377,377,10,
193,292,293,,
194,247,247,,
195,196,196,,
196,206,206,,
197,48,48,,
198,216,216,,
199,12,12,,
200,13,13,,
201,359,360,,
202,417,418,,
203,418,417,,
204,207,207,,
205,392,392,,
206,169,169,,
207,219,219,,
208,246,246,,
209,83,83,,
210,364,364,,
211,336,337,,
212,109,109,18,
213,345,346,,
214,155,155,8,
215,23,23,,
216,230,230,,
217,148,148,,
218,220,220,,
219,187,187,,
220,7,7,,
221,209,209,12,
222,201,201,,
223,30,30,,
224,138,138,,
225,208,208,,
226,178,178,,
227,394,394,,
228,118,118,,
229,161,161,,
230,411,411,,
231,87,87,,
232,107,107,19,
233,18,18,,
234,260,260,,
235,240,240,,
236,115,115,,
237,308,309,,
238,86,86,11,
239,96,96,,
240,147,147,,
241,183,183,,
242,33,33,,
243,339,340,,
244,126,126,,
245,28,28,,
246,88,88,,
247,20,20,,
248,58,58,,
249,77,77,,
250,11,11,,
251,293,294,,
252,391,391,,
253,243,243,,
254,166,166,,
255,125,125,,
256,298,299,,
257,365,365,,
258,225,225,,
259,340,341,15,
260,393,393,,
261,269,269,,
262,351,352,,
263,409,409,,
264,27,27,,
265,54,54,,
266,253,253,,
267,68,68,,
268,173,173,,
269,376,376,,
270,34,34,,
271,21,21,14,
272,310,311,,
273,158,158,,
274,406,406,,
275,164,164,,
276,271,271,,
277,61,61,13,
278,98,98,,
279,6,6,,
280,9,9,,
281,163,163,,
282,137,137,,
283,301,302,,
284,235,235,,
285,108,108,,
286,285,286,,
287,59,59,,
288,160,160,,
289,2,2,,
290,198,198,,
291,241,241,,
292,380,380,,
293,234,234,,
294,389,389,,
295,4,4,,
296,258,258,,
297,261,261,,
298,282,283,,
299,270,270,,
300,410,410,,
301,104,104,,
302,167,167,,
303,337,338,,
304,311,312,,
305,397,397,,
306,314,315,,
307,255,255,,
308,309,310,,
309,420,420,,
310,249,249,,
311,327,328,,
312,414,414,,
313,372,372,,
314,227,227,,
315,371,371,,
316,257,257,,
317,381,381,,
318,185,185,,
319,114,114,,
320,26,26,,
321,378,378,,
322,17,17,,
323,3,3,,
324,131,131,,
325,306,307,,
326,415,415,,
327,273,273,,
328,162,162,,
329,141,141,,
330,280,281,,
331,71,71,,
332,232,232,,
333,8,8,,
334,174,174,,
335,215,215,,
336,56,56,,
337,57,57,,
338,116,116,,
339,94,94,,
340,171,171,,
341,352,353,,
342,279,280,,
343,35,35,,
344,122,122,,
345,90,90,,
346,329,330,,
347,29,29,,
348,238,238,,
349,416,416,,
350,5,5,,
351,60,60,,
352,52,52,,
353,113,113,,
354,120,120,,
355,69,69,,
356,10,10,,
357,386,386,,
358,70,70,,
359,154,154,,
360,369,369,,
361,268,268,,
362,202,202,,
363,203,203,,
364,55,55,,
365,341,342,,
366,379,379,,
367,66,66,,
368,135,135,,
369,263,263,,
370,342,343,,
371,132,132,,
372,189,189,,
373,199,199,,
374,387,387,,
375,213,213,,
376,130,130,,
377,192,192,,
378,318,319,,
379,128,128,,
380,193,193,,
381,190,190,,
382,76,76,,
383,401,401,,
384,95,95,,
385,237,237,,
386,382,382,,
387,312,313,,
388,348,349,,
389,373,373,,
390,119,119,,
391,347,348,,
392,262,262,,
393,370,370,,
394,75,75,,
395,73,73,,
396,136,136,,
397,335,336,,
398,74,74,,
399,85,85,,
400,197,197,,
401,366,366,,
402,81,81,,
403,99,99,,
404,177,177,,
405,180,180,,
406,181,181,,
407,233,233,,
408,244,244,,
409,245,245,,
410,121,121,,
411,274,275,,
412,276,277,,
413,277,278,,
414,281,282,16,